movie_id,imdb_id,title,year,genre,imdb_rating,imdb_url,poster
29,tt0112682,The City of Lost Children,1995,"Fantasy, Sci-Fi",7.6,https://www.imdb.com/title/tt0112682/,https://m.media-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
30,tt0115012,Shanghai Triad,1995,"Crime, Drama, Romance",7.2,https://www.imdb.com/title/tt0115012/,https://m.media-amazon.com/images/M/MV5BMTgyMzAwOTQyNF5BMl5BanBnXkFtZTcwNDU1MjgxMQ@@._V1_SX300.jpg
31,tt0112792,Dangerous Minds,1995,"Biography, Drama",6.5,https://www.imdb.com/title/tt0112792/,https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
32,tt0114746,Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",8.0,https://www.imdb.com/title/tt0114746/,https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
34,tt0112431,Babe,1995,"Comedy, Drama, Family",6.8,https://www.imdb.com/title/tt0112431/,https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg
36,tt0112818,Dead Man Walking,1995,"Crime, Drama",7.5,https://www.imdb.com/title/tt0112818/,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg
38,tt0113442,It Takes Two,1995,"Comedy, Family, Romance",5.8,https://www.imdb.com/title/tt0113442/,https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg
39,tt0112697,Clueless,1995,"Comedy, Romance",6.8,https://www.imdb.com/title/tt0112697/,https://m.media-amazon.com/images/M/MV5BMTgxODIxODE2MF5BMl5BanBnXkFtZTgwOTA4NjQxMTE@._V1_SX300.jpg
40,tt0112749,"Cry, the Beloved Country",1995,"Drama, Thriller",6.9,https://www.imdb.com/title/tt0112749/,https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_SX300.jpg
41,tt0114279,Richard III,1995,"Drama, Sci-Fi, War",7.5,https://www.imdb.com/title/tt0114279/,https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
42,tt0112819,Dead Presidents,1995,"Action, Crime, Drama, Thriller, War",6.9,https://www.imdb.com/title/tt0112819/,https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
43,tt0114272,Restoration,1995,"Biography, Drama, History",6.7,https://www.imdb.com/title/tt0114272/,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxODZiZTUtNTlhNy00Y2Q3LWFjMjctOTYyZGY2ZmIxZGRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
44,tt0113855,Mortal Kombat,1995,"Action, Adventure, Fantasy, Sci-Fi, Thriller",5.8,https://www.imdb.com/title/tt0113855/,https://m.media-amazon.com/images/M/MV5BNzJhYjYxMTctNmY4My00NGIzLThmN2MtYjgwMjlmZWNjMTJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
45,tt0114681,To Die For,1995,"Comedy, Crime, Drama",6.8,https://www.imdb.com/title/tt0114681/,https://m.media-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
46,tt0113347,How to Make an American Quilt,1995,"Comedy, Drama, Romance",6.2,https://www.imdb.com/title/tt0113347/,https://images-na.ssl-images-amazon.com/images/M/MV5BNGYwZmZkYWItNjdmMi00MjI2LThmOGYtMmI1NTQ0OWQ1YWIxXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg
47,tt0114369,Se7en,1995,"Crime, Drama, Mystery, Thriller",8.6,https://www.imdb.com/title/tt0114369/,https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
48,tt0114148,Pocahontas,1995,"Animation, Adventure, Drama, Family, Musical, Romance",6.7,https://www.imdb.com/title/tt0114148/,https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg
49,tt0114916,When Night Is Falling,1995,"Drama, Romance",6.6,https://www.imdb.com/title/tt0114916/,https://m.media-amazon.com/images/M/MV5BNmZmNzc3ZWYtNTI2ZS00NWFlLWFkMWMtMGUxN2UxZjljZTY5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg
50,tt0114814,The Usual Suspects,1995,"Crime, Mystery, Thriller",8.6,https://www.imdb.com/title/tt0114814/,https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
52,tt0113819,Mighty Aphrodite,1995,"Comedy, Fantasy, Romance",7.1,https://www.imdb.com/title/tt0113819/,https://m.media-amazon.com/images/M/MV5BMGM1NzM2ZjktNDM5ZS00YmExLTk5ZmYtNDdkNjdkNTdhZWZkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
53,tt0110299,Lamerica,1994,Drama,7.6,https://www.imdb.com/title/tt0110299/,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MTI5MjU3MF5BMl5BanBnXkFtZTcwMjMzODUyMQ@@._V1_SX300.jpg
54,tt0112499,The Big Green,1995,"Comedy, Family, Sport",5.5,https://www.imdb.com/title/tt0112499/,https://m.media-amazon.com/images/M/MV5BNmY4NWVkM2UtY2FkZC00NWJiLTg5N2EtYzk4NjJkMGE0YzA3XkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg
55,tt0113158,Georgia,1995,"Drama, Music",6.5,https://www.imdb.com/title/tt0113158/,https://images-na.ssl-images-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
57,tt0113321,Home for the Holidays,1995,"Comedy, Drama, Romance",6.6,https://www.imdb.com/title/tt0113321/,https://m.media-amazon.com/images/M/MV5BMWU3NmFlNzAtMDM0Zi00OGM0LTgxN2EtZDVlNTBmYWYzNWUzXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg
58,tt0110877,Il Postino,1994,"Biography, Comedy, Drama",7.7,https://www.imdb.com/title/tt0110877/,https://m.media-amazon.com/images/M/MV5BYWZmNjkzOGItNmI4ZS00MDQ1LThhMzQtOTI3MThjOTI4Njg2XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg
60,tt0113419,The Indian in the Cupboard,1995,"Drama, Family, Fantasy",5.9,https://www.imdb.com/title/tt0113419/,https://m.media-amazon.com/images/M/MV5BZWZlYmZiZGMtN2YyZC00MTdjLTllNjUtYWNhZDMwNDhhOTM1XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
61,tt0116260,Eye for an Eye,1996,"Crime, Drama, Thriller",6.2,https://www.imdb.com/title/tt0116260/,https://m.media-amazon.com/images/M/MV5BMDM4Mzc5ZjAtM2JjMi00NzU1LWEzM2MtNDQzNWI5MmRkM2I1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
62,tt0113862,Mr. Holland's Opus,1995,"Drama, Music",7.3,https://www.imdb.com/title/tt0113862/,https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
63,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,"Comedy, Crime",6.6,https://www.imdb.com/title/tt0116126/,https://m.media-amazon.com/images/M/MV5BY2NmM2M2MWItNjdlMC00ZWI3LTkwODUtZDNkYWZjYjgzZjY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
64,tt0118002,Two If by Sea,1996,"Comedy, Crime, Romance",5.2,https://www.imdb.com/title/tt0118002/,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5MDcxNjY5MV5BMl5BanBnXkFtZTYwNDMxMTk5._V1_SX300.jpg
65,tt0115683,Bio-Dome,1996,Comedy,4.4,https://www.imdb.com/title/tt0115683/,https://m.media-amazon.com/images/M/MV5BYzY0ZjI0NTUtNDE4Yi00OGU2LWExZDMtNTY1MTM3ZWE3MzEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
66,tt0116839,Lawnmower Man 2: Beyond Cyberspace,1996,"Action, Sci-Fi, Thriller",2.4,https://www.imdb.com/title/tt0116839/,https://ia.media-imdb.com/images/M/MV5BZGI0ZDZhOGUtZDZiOS00NWE2LThjNzQtYzI3ZGFjODUwZjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
68,tt0113149,French Twist,1995,Comedy,6.4,https://www.imdb.com/title/tt0113149/,https://m.media-amazon.com/images/M/MV5BMTQyNzIyMjI1MV5BMl5BanBnXkFtZTgwMjkyMzUzMzE@._V1_SX300.jpg
69,tt0113118,Friday,1995,"Comedy, Drama",7.3,https://www.imdb.com/title/tt0113118/,https://m.media-amazon.com/images/M/MV5BYmEwNjNlZTUtNzkwMS00ZTlhLTkyY2MtMjM2MzlmODQyZGVhXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
70,tt0116367,From Dusk Till Dawn,1996,"Action, Crime, Horror",7.3,https://www.imdb.com/title/tt0116367/,https://m.media-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
71,tt0113010,Fair Game,1995,"Action, Crime, Romance, Thriller",4.2,https://www.imdb.com/title/tt0113010/,https://m.media-amazon.com/images/M/MV5BMTE4M2Q2ZjctMGViNS00NzhiLWFkMjMtMjY2NWMzOWUzM2Y3XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg
72,tt0113537,Kicking and Screaming,1995,"Comedy, Drama, Romance",7.0,https://www.imdb.com/title/tt0113537/,https://m.media-amazon.com/images/M/MV5BNWU2YjdlN2ItNTk2OS00MzMwLTlhYjctNDI0MDI0NTQ3OWY0XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg
73,tt0113828,Les Misérables,1995,"Drama, History",7.5,https://www.imdb.com/title/tt0113828/,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1NzgyNTk0N15BMl5BanBnXkFtZTYwNjk4MDU5._V1_SX300.jpg
74,tt0115644,Bed of Roses,1996,"Romance, Drama",6.1,https://www.imdb.com/title/tt0115644/,https://m.media-amazon.com/images/M/MV5BNTUwOWM4YmUtMzdkMi00YjEwLWE0MmEtZTBmMGNhYWU4OGI3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
75,tt0115676,Big Bully,1996,"Comedy, Thriller",4.6,https://www.imdb.com/title/tt0115676/,https://m.media-amazon.com/images/M/MV5BYzAzMmUyNTYtNTQ4Yi00ZDJmLTliMTAtOTFlY2U0ODNiMGNmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg
76,tt0114367,Screamers,1995,"Sci-Fi, Thriller",6.4,https://www.imdb.com/title/tt0114367/,https://m.media-amazon.com/images/M/MV5BM2M2ZGM0NDUtODRhNS00MjcxLTg3ZWYtYjkyZDJkYmVjOWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
77,tt0113973,Nico Icon,1995,"Documentary, Biography, Music",7.3,https://www.imdb.com/title/tt0113973/,https://m.media-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1_SX300.jpg
78,tt0112744,The Crossing Guard,1995,"Drama, Thriller",6.3,https://www.imdb.com/title/tt0112744/,https://m.media-amazon.com/images/M/MV5BMjkwNWMyZjQtNmU5MS00ZWE1LWE3NzMtNGZjNTlhYzcwNjIzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
79,tt0116731,The Juror,1996,"Drama, Thriller",5.6,https://www.imdb.com/title/tt0116731/,https://m.media-amazon.com/images/M/MV5BYTMzNjAyZTktNzRjMS00ZThmLTk5ODEtZWI5ZmYyZGNiNzMxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg
80,tt0112445,The White Balloon,1995,"Drama, Family",7.8,https://www.imdb.com/title/tt0112445/,https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5ODk5MDAwN15BMl5BanBnXkFtZTYwNDA3MjE5._V1_SX300.jpg
81,tt0114660,Things to Do in Denver When You're Dead,1995,"Crime, Drama",6.8,https://www.imdb.com/title/tt0114660/,https://m.media-amazon.com/images/M/MV5BMzI0OWEzZmItOGUyOC00M2Y2LWIzNDEtY2EzYzAwNWI0ZDkyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg
82,tt0112379,Antonia's Line,1995,"Comedy, Drama",7.5,https://www.imdb.com/title/tt0112379/,https://ia.media-imdb.com/images/M/MV5BMTgwNjkwOTQ5NV5BMl5BanBnXkFtZTcwNjc3ODAyMQ@@._V1_SX300.jpg
83,tt0114039,Once Upon a Time... When We Were Colored,1995,"Drama, Romance",7.2,https://www.imdb.com/title/tt0114039/,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NDk2MDcyNV5BMl5BanBnXkFtZTcwMTQxNTMyMQ@@._V1_SX300.jpg
85,tt0112365,Angels and Insects,1995,"Drama, Romance",7.0,https://www.imdb.com/title/tt0112365/,https://m.media-amazon.com/images/M/MV5BZTc1MzY1ODAtMDhlMS00NjgyLTlkNTEtZTUwYTM4MzFkNWNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg
86,tt0118158,White Squall,1996,"Adventure, Drama",6.6,https://www.imdb.com/title/tt0118158/,https://m.media-amazon.com/images/M/MV5BZjlmMDcwMWUtODBlZi00MmJkLThiODAtY2NkOGQxMTExZDU3L2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg
87,tt0116151,Dunston Checks In,1996,"Comedy, Adventure, Family",5.3,https://www.imdb.com/title/tt0116151/,https://m.media-amazon.com/images/M/MV5BN2RhOTA4YzAtNTg3NC00NmYxLWI1YjQtYzM4NTJlYzVhZGYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
88,tt0115697,Black Sheep,1996,Comedy,6.2,https://www.imdb.com/title/tt0115697/,https://m.media-amazon.com/images/M/MV5BYjc2NzU0YjUtYzkyNS00NjcwLWJiM2QtM2Y3YjFhMTQ0M2I3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
89,tt0113972,Nick of Time,1995,"Action, Crime, Drama, Thriller",6.3,https://www.imdb.com/title/tt0113972/,https://m.media-amazon.com/images/M/MV5BODg1ODNjMzItYjRkMS00NmExLTkxNWUtMWYwNWM2NDU1YzU1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
92,tt0117002,Mary Reilly,1996,"Drama, Horror, Romance, Thriller",5.8,https://www.imdb.com/title/tt0117002/,https://m.media-amazon.com/images/M/MV5BZWI5MzBiMjgtNDE2ZC00MTA1LWFmNWItZDQyMDA2NGE0MjQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
93,tt0114825,Vampire in Brooklyn,1995,"Comedy, Fantasy, Horror, Romance",4.5,https://www.imdb.com/title/tt0114825/,https://m.media-amazon.com/images/M/MV5BNWFlYjJiYzUtNWE1YS00YzM5LTkxYzMtN2FlMjI4NTNlNzExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
94,tt0115639,Beautiful Girls,1996,"Comedy, Drama, Romance",7.2,https://www.imdb.com/title/tt0115639/,https://m.media-amazon.com/images/M/MV5BOTQ4OTU0ODktY2E5YS00MGFhLTgwZTEtZWFkOGMxMmFmOTg0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
95,tt0115759,Broken Arrow,1996,"Action, Adventure, Thriller",6.0,https://www.imdb.com/title/tt0115759/,https://m.media-amazon.com/images/M/MV5BYzU2NDg3ZTItNzRmNy00NTQzLTljMDUtNjczOTMwZjEzNWVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
96,tt0113403,A Midwinter's Tale,1995,Comedy,7.3,https://www.imdb.com/title/tt0113403/,https://ia.media-imdb.com/images/M/MV5BMTIyMDEwMDAyMl5BMl5BanBnXkFtZTYwOTUwNTk4._V1_SX300.jpg
97,tt0113247,La Haine,1995,"Crime, Drama",8.1,https://www.imdb.com/title/tt0113247/,https://m.media-amazon.com/images/M/MV5BNDNiOTA5YjktY2Q0Ni00ODgzLWE5MWItNGExOWRlYjY2MjBlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
99,tt0113283,Heidi Fleiss: Hollywood Madam,1995,"Documentary, Biography",6.6,https://www.imdb.com/title/tt0113283/,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4NDc5NzQzNF5BMl5BanBnXkFtZTcwMDUyODkxMQ@@._V1_SX300.jpg
100,tt0115907,City Hall,1996,Drama,6.2,https://www.imdb.com/title/tt0115907/,https://m.media-amazon.com/images/M/MV5BNDlhNDc3MmEtODJkMS00YmVlLWI4MTUtNDRkMTFhYjk1NDdlXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
